Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating,Room amenities - positive,Room amenities - negative,Hotel amenities - positive,Hotel amenities - negative,Staff - positive,Staff - negative,Food and beverages - positive,Food and beverages - negative,Location - positive,Location - negative
Wonderful,,"Comfortable, clean and really nice and helpfull personel :)",9.0,May 2024,"June 1, 2024",Double Room with Extra Bed,4,Group,8,1,0,0,0,1,0,0,0,0,0
Great hotel right on the Ramblas where all the action is and close to the market the staff was very helpful with us tryi,,"It was close to the market and a direct. 1 bus ride no transfers to the cruise port for us 
Breakfast was optional at 10£per person",8.0,May 2024,"May 29, 2024",Double Room with Extra Bed,3,Group,8,0,0,0,0,0,0,1,0,1,0
See above,"Our bed was not comfortable - sagged in the middle and was quite hard.

We did not get a good night's sleep because of street noise into the early hours of the morning.",Location of the hotel was very good. Staff were helpful - there was a txi strike sothey advised alternative travel to the airport.,7.0,May 2024,"May 29, 2024",Double or Twin Room,2,Couple,8,0,1,0,1,1,0,0,0,1,0
"Our room was central, clean and comfortable and the staff was friendly and helpful!",,The location was very good and the staff was friendly and helpful!,8.0,March 2024,"May 29, 2024",Superior Double Room,2,Couple,8,0,0,0,0,1,0,0,0,1,0
Very Good,Space was small,Location was amazing,8.0,May 2024,"May 28, 2024",Superior Triple Room,3,Group,8,0,0,0,1,0,0,0,0,1,0
Wonderful,,It’s right there on the Ramblas. I felt safe!,9.0,May 2024,"May 24, 2024",Double or Twin Room,2,Group,8,0,0,0,0,0,0,0,0,0,0
"Perfect location, friendly staff","The triple room was a small and had a double and a single, whereas we would have preferred three singles. The view was into a small internal space.","The location of the hotel was perfect, on Las Ramblas, in a nice old building with some balconies overlooking the street. The beds were very comfortable and the air conditioning worked well. The staff were very friendly and helpful. The hotel served  breakfast for 10 euros. The room was very good value for money considering the location. We would definitely consider staying here again.",9.0,May 2024,"May 22, 2024",Triple Room,1,Group,8,1,1,1,1,1,0,1,0,1,1
Perfect for a solo traveller,"The hall is very echoey, which means that it's quite easy to make a lot of noise. On one night of my stay, someone on my floor was making a lot of noise slamming the door. Not the hotel's fault, but keep that in mind and bring earplugs if needed. I couldn't change the temperature on the AC, but it wasn't much of a problem for me. This might however be a problem in hotter months.","Although the room is very small, it was perfect for a solo traveller. Having the balcony onto Las Ramblas was an additional benefit and the window was very good at blocking the noise. When I arrived my safe was locked, but the staff at reception fixed it for me quickly. The location is perfect, very close to the bus stop at which the airport bus stops.",8.0,May 2024,"May 22, 2024",Single Room,2,Solo traveler,8,1,0,0,1,1,0,0,0,1,0
Very Good,Could hear people talking in next rooms. Walls were a bit thin.,"Great location for walking to attractions. Loved being close to everything. Good clean, comfortable room but not a very big room when you have 2 big suitcases 😊.",8.0,May 2024,"May 19, 2024",Double or Twin Room,2,Couple,8,1,1,0,0,0,0,0,0,1,0
Nice location with internet !,Better breakfast and more choices in the vending machine in addition to beer,"We liked the location and the amenities 
We thought the breakfast was included and when we paid, there wasn’t much to choose from.",8.0,May 2024,"May 17, 2024",Double or Twin Room,4,Group,8,0,0,0,0,0,0,1,1,1,0
