Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating,Room amenities - positive,Room amenities - negative,Hotel amenities - positive,Hotel amenities - negative,Staff - positive,Staff - negative,Food and beverages - positive,Food and beverages - negative,Location - positive,Location - negative
Thoroughly enjoyed my stay and would definitely consider  booking again.,"The property is currently undergoing some upgrades/renovations which are causing some disruption. The upgrades are essential for everyone’s safety, however the building works are impacting on the cleanliness of carpeting etc in the areas leading to where the works are being undertaken making it difficult for housekeeping staff to clean the corridor carpeting.","The property was well organised, the staff were really friendly and it was in an ideal location.
The breakfast was varied with plenty of choice of food and drinks available.
The room was small but clean, really comfortable bed and plenty of hot water available.",8.0,June 2024,"June 5, 2024",Single Room,2,Solo traveler,7.4,1,1,0,1,1,1,1,0,1,0
Only the shower was disappointing.,"The shower head leaked. And the slide on the bar to adjust the shower head height was broken.
Only the",Breakfast was very good,6.0,May 2024,"June 1, 2024",Double or Twin Room,1,Couple,7.4,0,1,0,0,0,0,1,0,0,0
"Ok for a one night stay, clean and great location. Breakfast was ok.",Room was very small.,"Great location, right across the Termini station.",8.0,May 2024,"May 28, 2024",Single Room,1,Solo traveler,7.4,0,1,0,0,0,0,0,0,1,0
"Ok for the price, comparing with other hotels in Rome","Breakfast is ok, but very busy. They were doing renovations and they start working around 9 am. So if you want to stay at the hotel after that it's really loud. Also, people were screaming in the corridor early in the morning.","Location was good, right in front of the central station, so you can take trains, metro and buses very easily. But it is a busy and dirty area. Staff is friendly.",7.0,May 2024,"May 27, 2024",Double or Twin Room,3,Couple,7.4,0,0,0,0,1,0,0,1,1,0
Good,,Location convenient,7.0,May 2024,"May 25, 2024",Small Double Room,1,Couple,7.4,0,0,0,0,0,0,0,0,1,0
Very Good,,"We could not open bedroom window .The air con was noisy.  Ok for us but you have to have it low ! 
Everything fine we are elderly and would have preferred a lower shower to get in anc out !",8.0,May 2024,"May 22, 2024",Small Double Room,1,Couple,7.4,1,0,0,0,0,0,0,0,0,0
"Perfect location near Rome central station, also late check in was possible.",,"Perfect location near Rome central station, also late check in was possible.",8.0,March 2024,"May 19, 2024",Small Double Room,1,Couple,7.4,0,0,0,0,0,0,0,0,1,0
Good,"Very old hotel, very small room, WIFI didn't work inside the room. Breakfast vinue was small and crowded when I used it.",Location near to Termini train station and near restaurants and shops ... etc.,7.0,May 2024,"May 16, 2024",Small Double Room,3,Solo traveler,7.4,0,1,0,1,0,0,1,1,1,0
Very Good,"Room was very plain, pictures on site were misleading.",Great location.,8.0,May 2024,"May 15, 2024",Superior Double or Twin Room,2,Solo traveler,7.4,0,1,0,0,0,0,0,0,1,0
Good,Breakfast was lacking.,,7.0,May 2024,"May 15, 2024",Double or Twin Room,1,Couple,7.4,0,0,0,0,0,0,0,1,0,0
We had late night and early morning trains so convenient location to Roma Termini.,It seemed pricy but it is Rome.,It was right next to the train station.,7.0,April 2024,"May 11, 2024",Superior Double or Twin Room,1,Family,7.4,0,0,0,0,0,0,0,0,0,0
"This suited my purpose, close to railway, good price, private and quiet for a one night stay.","Long corridors, confusing signage.",Great location over the road from Roma Termini.,8.0,May 2024,"May 7, 2024",Single Room,1,Solo traveler,7.4,0,0,0,0,0,0,0,0,1,0
Very Good,"The room was clean and had everything  I needed, a bit old and teared for the use, which I'm OK with. But the door seemed to be broken which at first made me feel unsafe, then I checked and it did lock properly.","The location, the staff was helpful and nice, they helped me printing some ticket for a museum.",8.0,May 2024,"May 5, 2024",Single Room,2,Solo traveler,7.4,0,1,0,0,1,0,0,0,1,0
Very Good,very old furnitures， very small room,very good location,8.0,April 2024,"May 4, 2024",Double or Twin Room,1,Couple,7.4,0,1,0,0,0,0,0,0,1,0
Very Good,WiFi is a bit slow,"Location is great, easy to access public transportation
Staffs are friendly and helpful",8.0,May 2024,"May 3, 2024",Small Double Room,2,Group,7.4,0,0,0,1,1,0,0,0,1,0
Short trip & one night .,Rooms r too small,Location,6.0,April 2024,"April 27, 2024",Superior Double or Twin Room,1,Family,7.4,0,1,0,0,0,0,0,0,1,0
"Highly recommended for an affordable, short stay.","The room was tiny, but it's ok for a short stay if you're going to be mostly out touristing.","great location, super central and right in front of the train station; which greatly simplified our logistics since we arrived and left from the central station. Also walking distance to major attractions like Colisseum, etc etc. Good breakfast.",7.0,April 2024,"April 26, 2024",Small Double Room,2,Couple,7.4,0,1,0,0,0,0,1,0,1,0
