Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating,Room amenities - positive,Room amenities - negative,Hotel amenities - positive,Hotel amenities - negative,Staff - positive,Staff - negative,Food and beverages - positive,Food and beverages - negative,Location - positive,Location - negative
Exceptional,,Convenient and new,10.0,June 2024,"June 11, 2024",Carlton Club Room,2,Couple,9.2,0,0,0,0,0,0,0,0,1,0
Exceptional,,Exceptionally well maintained rooms,10.0,May 2024,"June 11, 2024",Executive Room,2,Family,9.2,1,0,0,0,0,0,0,0,0,0
Super value for money stay! Had a great one n definitely be back!,Almost nothing! Prolly the buffet breakfast spread could be better given it’s a 5 star hotel!,"Clean, new & excellent location",10.0,June 2024,"June 10, 2024",Deluxe Room,2,Family,9.2,1,0,0,0,0,0,0,1,1,0
Love the area around the hotel. Lots of nice restaurants,The sky bar could be better,"I like the views of the room a lot and the bed was good. 
Staff is nice. We had a late flight in the evening and we could take a shower before leaving.",10.0,May 2024,"June 6, 2024",Executive Room,1,Group,9.2,1,0,0,0,1,0,0,0,1,0
Wonderful,,"Hotel was beautiful, clean and friendly staff.Breakfast was excellent, loads of variety. One of the best hotels we stayed.",9.0,May 2024,"June 6, 2024",Deluxe Room,2,Group,9.2,1,0,0,0,1,0,1,0,0,0
Absolutely lovely hotel and staff.  This is one of my favourite hotels ever.,"The only thing I did not like was when I checked in.  I had to pay holding fee with cash as all my Visa and Mastercards were not accepted because they were debit cards , even though I had plenty of money in them and have used them at lots of different hotels.  The second time I checked in this was not the same and was better experience.","The building is beautiful and super clean.  Staff were excellent.  Location was great.  This hotel is a little gem.  Phun the staff member who works out the front with the baggage , taxis etc was exception.  Great guy.",10.0,June 2024,"June 5, 2024",Deluxe Room,1,Solo traveler,9.2,1,0,1,0,1,0,0,0,1,0
Wonderful,,"Lovely staff, location",9.0,June 2024,"June 5, 2024",Deluxe Room,3,Solo traveler,9.2,0,0,0,0,1,0,0,0,1,0
Exceptional,,Staff is great and room is comfortable,10.0,May 2024,"June 4, 2024",Deluxe Room,3,Couple,9.2,1,0,0,0,1,0,0,0,0,0
Exceptional,,Very friendly employees and excellent room furniture,10.0,June 2024,"June 4, 2024",Deluxe Room,1,Solo traveler,9.2,1,0,0,0,1,0,0,0,0,0
Would definitely recommend!,,One of the best hotels I’ve ever stayed in. Could not fault.,10.0,May 2024,"June 3, 2024",Executive Room,3,Solo traveler,9.2,0,0,0,0,0,0,0,0,0,0
Stylish and elegant,"Sukhumvit is obviously a great central location, convenient for sightseeing, shopping, etc. However, it is also very busy, loud, and a bit grimy around the edges. This is not a criticism of the Carlton, however, which offers a serene sanctuary from the all the hubbub of Sukhumvit.","Stylish and elegant atmosphere. Great views. Breakfast buffet is excellent with a wide array of cuisines to cater to a variety of preferences. Excellent location. But the one thing that truly stands out is friendly, professional staff. Not only was every staff member courteous and attentive, they often anticipated my needs or wishes and fulfilled them before I even had to ask. On my most recent visit I enjoyed my interactions with every staff member I met, and was particularly impressed with Ms. Bow, who graciously assisted me during checkout, and Ms. Apple and her entire team at Plate Restaurant. I was more than satisfied with my stay and highly recommend the Carlton Hotel in Bangkok.",10.0,June 2024,"June 2, 2024",Executive Room,5,Solo traveler,9.2,0,0,0,0,1,0,1,0,1,1
"Great location, reasonable price for an A class hotel !",In room dinning menu can be improved,"Great location ,
Great service 
Comfortable room",8.0,June 2024,"June 1, 2024",Deluxe Room,2,Group,9.2,1,1,0,0,1,0,0,0,1,0
Exceptional,Nth,"It is located in Prime location. 
Clean / Quiet / New / Good Breakfast / Nice Rooftop bar / Swimming pool / Good Service",10.0,May 2024,"May 31, 2024",Deluxe Room,3,Solo traveler,9.2,1,0,1,0,1,0,1,0,1,0
