Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating,Room amenities - positive,Room amenities - negative,Hotel amenities - positive,Hotel amenities - negative,Staff - positive,Staff - negative,Food and beverages - positive,Food and beverages - negative,Location - positive,Location - negative
Nice overnight between 2 flights,Water in swimming pool was quite chilly,"Clean, comfortable rooms with nice bathrooms. Shuttle worked perfectly both ways (to and from airport/hotel). Food in restaurant tasty.",9.0,May 2024,"May 22, 2024",Queen Room with Two Queen Beds - Non-Smoking,1,Family,8.8,1,0,0,1,0,0,1,0,0,0
Suited our one night stay very well!,,Very helpful staff. Close to the airport for our one night stay. Shuttle was beneficial. good meals at the two restaurants at the hotel. not much else in the area.,8.0,March 2024,"May 21, 2024",Queen Room with Two Queen Beds - Non-Smoking,1,Couple,8.8,0,0,0,0,1,0,1,0,0,0
A little bit of luxury close to the airport.,Lack of other food choices nearby.,"It was clean and modern, and close to airport. We liked the free shuttle. Staff was very helpful and friendly. Beds were comfortable. Liked having a yoga pad in exercise room.",10.0,May 2024,"May 21, 2024",Queen Room with Two Queen Beds - Non-Smoking,2,Group,8.8,1,0,0,0,1,0,0,1,0,0
"Everything was ok, but that one issue.  The guy in the Restaurant remember from our previous stay.","There was a younger guy working the desk the next morning, did not want to be helpful with the remarks a previous employ said it was ok to do a late check out at 2 pm.  He insisted that we have to check out at 1pm .  My partner came up to the counter and said look in the notes the guy had made the night before.  Seems he was on a POWER EGO trip or something.  One bad apple does not spoil a bunch and will stay at La Quinta again.",,8.0,May 2024,"May 21, 2024",King Room - Non-Smoking,1,Couple,8.8,0,0,0,0,0,1,0,0,0,0
La Quinta - excellent option for a close to airport stay!,"No complaints. It's not RIGHT at the airport, but the shuttle service is excellent.","La Quinta far exceeded my expectations. The rate was great, so was expecting a very basic airport hotel, and wasn't phased as it was a place to sleep while transiting. But after an excellent shuttle service pick up, I was only further pleased with the standard of the hotel when I arrived. Fabulous huge room, big comfortable bed, large bathroom... and coffee machine to top it all off! Highly recommended for a transit in Santiago.",8.0,May 2024,"May 17, 2024",King Room - Non-Smoking,1,Solo traveler,8.8,1,0,0,0,1,1,0,0,0,0
Perfect stay,Nothing,"The room was excellent, the staff was lovely, food amazing, the facilities of the building like the swiming pool was awesome and the free transfer service was great.",10.0,May 2024,"May 15, 2024",King Room - Non-Smoking,1,Couple,8.8,1,0,1,0,1,0,1,0,0,0
Exceptional,"Climate controls in the room were confusing and impossible to see.
The lighting in the room wasn't bright enough.","Easy check-in and out.
Restaurant was great.
Free breakfast was great.
Kind English speaking staff.",10.0,May 2024,"May 14, 2024",Queen Room with Two Queen Beds - Non-Smoking,1,Solo traveler,8.8,0,1,0,0,1,0,1,0,0,0
Exceptional,,The airport shuttle service was excellent. I felt safe arriving alone into the country. Communication was excellent and the driver arrived punctually.,10.0,May 2024,"May 14, 2024",King Room - Non-Smoking,5,Solo traveler,8.8,0,0,0,0,1,0,0,0,0,0
Exceptional,,Early chech in,10.0,May 2024,"May 12, 2024",Queen Room with Two Queen Beds - Non-Smoking,1,Family,8.8,0,0,0,0,0,0,0,0,0,0
Great airport option,"The area around the hotel isn't very walkable, so maybe plan on taking the bus if you go exploring.","Used the hotel as a base between flights up and down Chile. Comfy beds, friendly staff, decent restaurants and bar on site. Pool was closed for repainting which was a shame, but it looked nice when it was finished :-) The local bus was a short walk away, and the shuttle connected us to back to the airport for our flights and for catching the Centropuerto into town. No problem with storing luggage after you've checked out.",8.0,April 2024,"May 10, 2024",Queen Room with Two Queen Beds - Non-Smoking,2,Group,8.8,1,0,1,0,1,0,1,0,0,0
