Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating,Room amenities - positive,Room amenities - negative,Hotel amenities - positive,Hotel amenities - negative,Staff - positive,Staff - negative,Food and beverages - positive,Food and beverages - negative,Location - positive,Location - negative
Good value and convenient for flights,Prices at swimming pool bar exorbitant.,Location close to airport and Runway walk from hotel to terminal. Walking distance to large high end mall and restaurants. Swimming pool. Hotel very well maintained and comfortable. Excellent value for money.,8.0,March 2024,"March 27, 2024",Superior Queen Room,1,Couple,8.2,0,0,1,1,0,0,1,0,1,0
Very Good,"I thought the hotel provided shuttle service to the airport, but apparnelty they stopped that during covid. So I had to take a Grab to the airport but ... I had no philippino money on me. And as it was evening adn I'd checked out at noon, I was told they could not offer money exchagne services since  was no longer a guest! Someone else finally gave me some pesos for 20 USD and I caught a cab tothe airport. But I mean .. really?  Everything up unti the had been great for this place.","You can actually walk quite easily to this place from Terminal 3 .. and avoid the rip off nightmare that are the cabs milling outside the arrival area. I enjoyed the small amenities, the toiletries, the provided coffee, the comfy bed.",8.0,March 2024,"March 27, 2024",Superior Twin Room,1,Solo traveler,8.2,1,0,0,0,0,1,0,0,0,0
"Great stay, close to the airport",,"We overnighted at the Belmont before catching a transfer flight the next morning. Facilities were great, staff were very helpful and the food at the hotel was good",9.0,March 2024,"March 26, 2024",Superior Queen Room,1,Couple,8.2,0,0,1,0,1,0,1,0,0,0
Very Good,Rooms quite small but fine for a short stay.,"Perfect location for the airport. Lovely rooftop pool, jacuzzi & bar.",8.0,March 2024,"March 21, 2024",Superior Twin Room,2,Couple,8.2,0,1,1,0,0,0,0,0,1,0
Had a lovely stay!,,Staff are lovely!,9.0,March 2024,"March 16, 2024",Superior Queen Room,1,Couple,8.2,0,0,0,0,1,0,0,0,0,0
Great hotel,,"Great location, you can walk there from T3 of Manila airport. Smart, modern hotel with very comfortable rooms. Excellent rooftop pool with bar and food. Short walk to convenience store, cafes, fast food.",9.0,March 2024,"March 16, 2024",Superior Queen Room,2,Couple,8.2,1,0,1,0,0,0,1,0,1,0
Wonderful,Need more lights on coffee rack,Close to the airport terminal 3,9.0,March 2024,"March 15, 2024",Superior Twin Room,1,Couple,8.2,0,0,0,0,0,0,0,0,0,0
Nice place to stay especially if your leaving abroad,Like the food but hen i ask something like pandesal they cannot give me cuz no more available,Good and yummy,9.0,February 2024,"March 14, 2024",Deluxe Twin Room,1,Family,8.2,0,0,0,0,0,0,0,1,0,0
Very good,Small room,Code to the shopping vicinity,8.0,March 2024,"March 8, 2024",Superior Twin Room,2,Family,8.2,0,1,0,0,0,0,0,0,1,0
Relaxing quick stay between flights.,My booked room was a bit cramped.  I may just be used to having a spacious room though.,"It is conveniently accessible through the Runway Manila which is connected to NAIA Terminal 3. 
Safe and easy walk from arrival area to the hotel.",8.0,March 2024,"March 5, 2024",Superior Twin Room,1,Solo traveler,8.2,0,1,0,1,0,0,0,0,1,0
Very Good,Room size for cost of room.,"Fiancé and I went here and although a bit pricey for the room size, it was a quality stay.
The Sauna and Steam room can be booked out as well as in room massage if preferred.
We loved both experiences and found the staff to be excellent.",8.0,March 2024,"March 5, 2024",Deluxe Queen Room,1,Family,8.2,1,1,0,0,1,0,0,0,0,0
Wonderful,,Everything but the electrical outlets...They need to be replaced. My cords kept falling out,9.0,December 2023,"March 2, 2024",Deluxe Queen Room,1,Family,8.2,0,0,0,0,0,0,0,0,0,0
"Perfect location, friendly staff!",Bathroom lighting is too dark for me and also maybe for people with disability.,"The beds are comfortable, room is perfect in size for a family.",9.0,February 2024,"February 27, 2024",Family Room,1,Family,8.2,1,1,0,0,0,0,0,0,0,0
Very good service. This will be my hotel of choice from now on if I need to stay near NAIA.,Nothing. Every encounter is perfect.,"Arrived late at night after a flight and everyone from the security to reception and bellboys are very efficient in assisting me to ensure I check in immediately so I can finally rest after a long day. In the morning, they even carried my luggage to the entrance of runway manila - talk about doing the extra mile!",9.0,February 2024,"February 27, 2024",Superior Twin Room,1,Solo traveler,8.2,0,0,0,0,0,0,0,0,0,0
