Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating,Room amenities - positive,Room amenities - negative,Hotel amenities - positive,Hotel amenities - negative,Staff - positive,Staff - negative,Food and beverages - positive,Food and beverages - negative,Location - positive,Location - negative,PageRank Score
"Truly enjoyed our stay, and wished it could have been longer!","Have to stretch to find something to complain about...okay, the shower door needs to be adjusted so it seals better and stops water from leaking out.

The hotel does not serve alcohol, but there are pubs and other hotels very close by","So much was so good!
All of the staff were friendly, courteous, helpful and kind, and looked after us incredibly well.  Of particular note was one of the managers, Arunima, who went to extraordinary lengths to comp us late check out and sort our transportation to the aeroport
Our Junior Suite (a big surpise, as we had booked a regular double room!) was huge, with a glorious sea view and a jacuzzi. Aircon was silent and worked perfectly. Suite had every amenity that we could need or want and was very comfortable and quiet.
Entire property was spotlessly clean and very well maintained; lounges and public areas were comfortable and welcoming
Big, bright breakfast room with an incredible buffet, including fresh coconuts and outdoor patio with awesome views.
Lunch and dinners in the onsite restaurant were phenomenal
Cool neighbourhood in a cool city, friendly folks, easy to navigate on foot as safe as anywhere in the world I have been, and within walking distance to Zanzibar ferries",10.0,June 2024,"June 13, 2024",Standard Queen Room,1,Couple,7.8,1,1,1,0,1,0,1,0,1,0,0.0022392481410865566
"All in all, the staff strived to make us happy. We hope to be back one day.","The only thing I wish is that they were more thorough with cleaning and mopping. I expect a higher quality of cleaning for this hotel’s reputation, particularly with regards to mopping. Also the bathrooms need an extra slide in the shower. For some reason the showers are not completely covered.",Loved the staff they were really helpful. Shout out to Abdul and Judith. Breakfast was excellent with great views and many varieties of food. They are really accommodating of the needs of guests as expected. They gave us a really beautiful room for our honeymoon. Wifi was great.,8.0,March 2022,"April 2, 2022",Standard Queen Room,2,Couple,7.8,1,1,1,0,1,0,1,0,1,0,0.0022392481410865566
excellent value for business travellers and delightful staff.,very limited facilities no gym or swimming pool no business centre and limited eating facilities,bedrooms very clean and tidy and good internet. very convenient location for business meetings in the city centre. delightful staff especially at breakfast and dinner,9.0,November 2022,"November 18, 2022",Standard Queen Room,5,Group,7.8,1,0,0,1,1,0,1,0,1,0,0.0022004979544205682
Fantastic choice for a traveler in Dar es Salam,"The hotel needs a refurbishment & an overall facelift to generate a wow experience for the clients. However, the price that it is commanding with current facilities is justified.","The receptionist tried his best to get us early check in & all the other members in the concierge, travel desk & reception are very cordial & helpful. The location is central & ideal for a business traveler. Hotel Cars reasonably priced. View from room is nice. The view from breakfast table is very good.",8.0,March 2023,"March 6, 2023",Deluxe Queen Room - High Floor,2,Group,7.8,1,0,0,1,1,0,1,0,1,0,0.0022004979544205682
"Great place, I don't mind staying there on my next trip as long as they fix the Wifi","The wifi was horrible, I had to resort to using mobile data to hotspot my laptop for work which ended up being very expensive on roaming.","The room was nice, the staff were also very friendly and gave me helpful tips for moving around the city. The breakfast was diverse and well cooked, loved the food and the view from the restaurant.",8.0,May 2024,"May 30, 2024",Standard Queen Room,6,Solo traveler,7.8,1,0,0,1,1,0,1,0,1,0,0.0022004979544205682
"Great view, very welcoming staff, highly recommend!",wifi connection was weak sometimes and stopped working for several hours.. also food at breakfast could be better,"the bed were extremly confortable, the view was amazing and overall the room was great.
the staff were attentive and really warm and welcoming. Food wasn't great at breakfast but the snack in the afternoon was great!
i highly recommend this hotel and especially a room with a view!",9.0,March 2023,"April 12, 2023",Deluxe Queen Room - High Floor,1,Couple,7.8,1,0,0,1,1,0,1,1,1,0,0.002198369447443639
Comfortable and safe in central Dar es Salaam.,"Furnishings and decor a bit old fashioned, but comfortable nonetheless.","Centrally located, the room was comfortable and spacious. Decent breakfast with good views from the restaurant. Staff were all pleasant to deal with - friendly and helpful.",8.0,July 2024,"July 24, 2024",Standard Queen Room,2,Solo traveler,7.8,1,0,1,0,1,0,1,0,1,0,0.0021868673826459135
Excellent!,,"I had an outstanding experience at Golden Tulip Dar City Center. The check-in process was seamless, and the staff were exceptionally friendly and helpful throughout my stay. The room was not only clean but also spacious, providing a comfortable environment. Kudos to the housekeeping team for their excellent job in maintaining the cleanliness. The breakfast, featuring a delightful Indian variety, added a flavorful touch to my mornings. Overall, my stay was perfect, thanks to the hotel's attentive service and impeccable accommodations.",10.0,December 2023,"December 14, 2023",Standard Queen Room,1,Couple,7.8,1,0,1,0,1,0,1,0,1,0,0.0021868673826459135
Nice for a night in the city,,"The room was nice and had a great view over the city and water. The staff was friendly, the AC worked well, and the WiFi was great. The restaurant upstairs was really good. Surprisingly delicious veggie burger! Overall, good value for money.",8.0,January 2022,"January 17, 2022",Standard Queen Room,1,Couple,7.8,1,0,1,0,1,0,1,0,1,0,0.0021868673826459135
"GREAT VIEW, GREAT LOCATION",Hmmm. Lemme think. I didn't like that I had to leave the next day ☹,"Everything about it. The location was in the heart of the city, from the tower you could see almost all of the city as far as the ocean. The staff were very friendly and welcoming. The breakfast was A for Awesome with alot of variety to choose from (though they had a lotta indian & middle eastern delicacies too). The room was spacious and view from the room was also beautiful. Before I forget, the fire restaurant on the 20th floor is muah. Endeavour to try the brownie dessert. Thank me later",10.0,December 2022,"December 12, 2022",Standard Queen Room,1,Couple,7.8,1,0,1,0,1,0,1,0,1,0,0.0021868673826459135
"Despite the short duration of our visit, the exceptional hospitality extended by Arumina, Luqman, and Judith left a last","Though it was a very short trip.. nothing! I have stayed at the Johari rotana.. Regency Hyatt, Sea cliff hotel.. coral beach resort .. and sister branch at Masaki and this city plaza is excellent.. good value for money!!","During our short stay, we had the pleasure of experiencing exceptional hospitality from Arumina, Luqman, and Judith. Their warm and welcoming nature made our time there truly wonderful.

From the moment we arrived, Arumina greeted us with a genuine smile and offered us a refreshing welcome drink. Luqman efficiently checked us in and provided all the necessary information about the facilities and nearby attractions even though there was an error on dates booked. Arumina attention to detail and eagerness to assist us in any way possible made us feel instantly at home.

Luqman, the concierge, went above and beyond to ensure our comfort and convenience. Nice room choice. He patiently answered all our questions and provided insightful recommendations for local restaurants and activities. His friendly demeanour and willingness to go the extra mile made our stay even more enjoyable.

Judith, the housekeeping and admin staff, maintained our room impeccably with help from housekeeping. Every day, we returned to a spotlessly clean and well-organized space. Arumina even took the time to arrange for little room defects.",10.0,April 2024,"April 22, 2024",Standard Queen Room,2,Couple,7.8,1,0,1,0,1,0,1,0,1,0,0.0021868673826459135
Wonderful,Nothing,"The room on 16 th floor was clean and spacious with nice of Dar es salaam city Center.
The restaurant was excellent though they charge  a small fee for service room",9.0,January 2022,"January 3, 2022",Superior Twin Room,3,Group,7.8,1,0,1,0,1,0,1,0,1,0,0.0021868673826459135
Short ride from the ferry,Everything was good!,"The location is good. Literally a short ride from the ferry. Maybe like 5 min or less. You may be able to walk but we had luggage, so we didn't want to do that. The lobby is well decorated and looks very modern. They have a nice restaurant called ""Fire House"" We had a 3 bedroom apartment which was more than enough space. There is a kitchen, where we cooked. They have plates and glassware available. Very beneficial. The living room space was big and nice. The breakfast was good. You can get omlettes made if you ask the employees in the back (it's not out in the open). The entire apartment is very clean and well taken care of. They have some food options right outside of the hotel. Upon arrival, they offer you drinks for free. There is an additional fee per person with every night that you stay. Some sort of tax. I think this is standard amongst the hotels there. It was about $1.5 US per person.",10.0,August 2021,"September 22, 2021",Three Bedroom Family Suite 8th Floor,1,Family,7.8,1,0,1,0,1,0,1,0,1,0,0.0021868673826459135
