Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating,Room amenities - positive,Room amenities - negative,Hotel amenities - positive,Hotel amenities - negative,Staff - positive,Staff - negative,Food and beverages - positive,Food and beverages - negative,Location - positive,Location - negative,PageRank Score
Beds were amazing and clean hot shower - it provided all we needed.,slight odour coming from the air conditioning.,"the bed was very soft and so comfortable and the pillows were fabulous. just what we needed after a 12 hour flight. Good hot shower,  clean towels and toiletries. Excellent location making is a useful stopover. Shuttle in the morning useful to take us to T2.",7.0,February 2022,"February 2, 2022",Deluxe Two Beds,1,Couple,8,1,1,0,0,0,0,0,0,1,0,0.0007549094135660926
Very Good,Scores eould be higher buy no coffee in my room nieghbour playing music real loud till 02.30 am,Location cleanliness,8.0,August 2023,"August 24, 2023",Deluxe Queen,1,Solo traveler,8,1,1,0,0,0,0,0,0,1,0,0.0007549094135660926
"Good stay, wish it was t so expensive","I didn’t like that I could not take my beer from happy hour to my room, ridiculous rule","Location of course, great for super early flight
I was super happy to enjoy a renovated room,
Great new shower",8.0,March 2023,"April 9, 2023",Superior Double Room,1,Family,8,1,1,0,0,0,0,0,0,1,0,0.0007549094135660926
Decent value for the location and comfort.,My room had a ramp right in front of the door that blocked part of the entrance. The carpet in the hallways and in the room looked horrible and definitely gave the impression of a poor quality hotel.,Close to the airport. Decent price for location. Nice bed and bathroom.,7.0,July 2022,"July 17, 2022",Deluxe King,1,Couple,8,1,1,0,0,0,0,0,0,1,0,0.0007549094135660926
Met my immediate needs but the cleanliness must be improved especially at this price.,"The cleanliness was not great - there were a number of hairs in my bed, the sink had some stains when I arrived and overall the hotel seemed to need a refresh.","The location could not have been easier - I was on a late arriving flight into Mexico City airport and thanks to the tunnel, I did not even have to step outside the airport to access it. I was able to get to my much needed bed very quickly.",6.0,July 2022,"July 20, 2022",Deluxe King,1,Solo traveler,8,1,1,0,0,0,0,0,0,1,0,0.0007549094135660926
Good airport hotel with some room for improvement.,"It would have been good to have a kettle to boil water and some tea / coffee making facilities in the room.  Also, the room was not really good for soundproofing. The sound of noisy people in other rooms was easily heard in our room.",Just across from the Terminal 1 airport building. No need for a shuttle.  Convenient shuttle from Terminal 2 airport building too.  Very efficient check in and check out process. Room service is quick and efficient.,7.0,April 2023,"April 18, 2023",Superior Double Room,1,Couple,8,1,1,1,1,1,0,1,0,1,0,0.0007522539090887878
A wonderful place to stay at the Mexico City airport -- once you manage to find it!,"I took a point off my overall score for this hotel because it was such a pain to find it after arriving by bus from Puebla. If I hadn't found such a good deal on the room, I would've deducted two points. It was bad.
In an effort to save the hotel future lost points and to help future guests, I will share my hard-won discoveries: You cannot see the hotel from inside the airport; from outside, you can see it once you get around Gate 5 and lower.... Do *not* follow the signs with an ""H"" or ""bed"" for ""Hotel""; they will take you to the Courtyard by Marriott (which must have been the only one to cough up money for the signage).... Do *not* rely on Google maps, which has let me down on a number of occasions during Covid and no more so than in this airport.... Only ask for directions from people in the Information booths; the other official-looking people are way too important and too busy talking to their friends to help a lost tourist.... When they tell you that the hotel is by Puerta 4, realize that this door is on the lower floor. To reach the hotel, you need to be on the upper/second floor, from where you cannot see the numbers. When they tell you on that floor that you need the second ""puerta"" on the right, realize that there are no doors/gates up there (except doors to offices and shops). There *are* two pedestrian overpass bridges (puentes), and the Camino Real Hotel is reached via the second one. That bridge is about 5-7 minutes past the one that leads to the airport train to Terminal 2; you will see a big letter ""B"" over on the left side just ahead. The second bridge splits. If you go left, you reach parking, and no one there has ever heard of the Camino Real Hotel. If you go right, you will see the first and one and only sign for the Camino Real Hotel. Walk across the bridge, keeping straight (there's a right turn into the airport outbound bus station) and you will enter the lobby...","I got a very good deal on my room here but would find this to be a really solid airport hotel even if I had paid the normal rate. My room was large, comfortable, and well serviced during my 2-night stay. The wifi (which was free with my rate) worked fine. Every staff member I encountered was cheerful and attentive. The soaring atrium lobby might be a bit outdated; decked out with a big Christmas tree and creche in the center, though, it was all quite festive and airy. It was relaxing to sit in the bar and have a couple of drinks while watching NFL games. I didn't eat there. (Yes, the prices were pretty high, but it is at a major airport. There are several good, more reasonable restaurants like Hector's Agavito within a one-block radius.) I also waited there with a tequila while waiting for the results of my Covid test, which was done at the medical office right next to the reservations desk. Although my flight back to Chicago left from Terminal 2, I stayed at this hotel at Terminal 1 (which can be a real nightmare) because of the great deal and because it is right next to a metro stop into the city (""Terminal Aérea"" station, Line 5). At 4:30 a.m., I only had to walk over to the terminal, down the escalator, and over to outside Gate 6 to catch the airport bus to Terminal 2 (20 pesos). The train (free) was just about to start up (at 5:00 a.m.), and it was even closer and at the same level.",8.0,December 2021,"January 18, 2022",Deluxe King,2,Solo traveler,8,1,1,1,1,1,0,1,0,1,0,0.0007522539090887878
Perfect room without leaving the airport,"The hotel is quite big, but a little bit old-fashioned. The first floor (registration desk, lobby, restaurant, and bar) look nice when the rooms and the corridors are a bit 'oldish' probably because of the designs. The only thing missing in the room was a fridge.
The hotel is not that difficult to reach, but it would be much better if there would be some signs inside the airport when leaving the departure doors to understand in which direction to walk.","The hotel has an extremely comfortable location as it connected with the airport terminal. So all you need is to get your luggage, go to the second floor of the airport terminal and have 3-4 mins walk to get to the hotel lobby.
The room has an air conditioner, clean bed sheets, clean towels, wardrobe, safe box, TV and cot ready if you are travelling with children.
On the other hand, there is a gym, restaurant, travel office, store and even the post box, so you can send a Mexican postcard directly from the hotel.
And the last thing to keep in mind is that sometimes there are queues for the check-in, probably it happens when multiple flights arrive at the same time. In this case, the check-in process will take longer, but the hotel staff works quite fast, so surely you will get your room as soon as possible. However, the check-out process is super fast, so you would not need to be worrying about missing your flight.",9.0,February 2022,"April 14, 2022",Deluxe King,1,Family,8,1,1,1,1,1,0,1,1,1,0,0.0007520939602056682
Used to be great but...,"Not enough drinking water in room and 1L extra water was $130mxn!!!! 

No tea/coffee making facilities in room any more. 

Beds on castors that meant resting on the headboard caused beds to slide across room. 

Price agreed with Booking.com not comparable with actual price at hotel (£40 difference per night).","Proximity to airport T1 gates very convenient. Staff - welcome and care always excellent. 

Air-conditioning system very configurable.

Quiet room.",7.0,April 2023,"April 21, 2023",Superior Double Room,1,Couple,8,1,1,0,1,1,0,0,1,1,0,0.000750114864962145
"Very basic, not 5 star","The hotel is very basic, dated, and misadvertised. We went for the executive floor, but didn’t see anything like hot/cold drinks on offer, no separate check in (queue is quite long). American breakfast was supposed to be included, but when we found breakfast it was a little room at the back of the lobby where we were offered eggs and fruit (not the main breakfast area). The bedding had lipstick stains on the sheets.","Staff were friendly, we were able to communicate in English. Location is good, but hard to find from the airport as lack of signs (it’s at door 4!). Room was quiet and air conditioning worked fine.",5.0,September 2021,"September 30, 2021",Camino Real Club King - Breakfast Included for Adults Only,1,Couple,8,1,1,0,1,1,0,0,1,1,0,0.0007501148649621448
