Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating,Room amenities - positive,Room amenities - negative,Hotel amenities - positive,Hotel amenities - negative,Staff - positive,Staff - negative,Food and beverages - positive,Food and beverages - negative,Location - positive,Location - negative
Good stay !,Breakfast - can add a few more variety,"Location was perfect for us. 
Helpful staff.",8.0,May 2024,"June 14, 2024",Standard Double Room with Sofa Bed,2,Family,8,0,0,0,0,1,0,0,1,1,0
Wonderful,,"Friendly staff, great location and comfortable rooms",9.0,May 2024,"June 13, 2024",Standard Double Room,1,Solo traveler,8,0,0,0,0,0,0,0,0,1,0
A stay in Hammersmith,Nothing really,"The proximity to the tube, the river, and shops.  Also next door to a pub",8.0,June 2024,"June 13, 2024",Standard Double Room with Sofa Bed,3,Couple,8,0,0,0,0,0,0,0,0,1,0
Wonderful,The pillows too hard,"Very near shops and the tube Hammersmith which made easy to visit sites. Breakfast was very good, great choice. The room was fine, bit small but adequate for small family.",9.0,June 2024,"June 11, 2024",Standard Double Room with Sofa Bed,3,Family,8,0,0,0,0,0,0,1,0,1,0
Very Good,,Location was safe and clean. It was located in a nice area with many shops and restaurants and walking distance to the tube. They allowed us to check in around 12PM which was amazing after a long day of traveling.,8.0,June 2024,"June 11, 2024",Standard Double Room,1,Couple,8,0,0,0,0,0,0,1,0,1,0
"Amazing location, price and stay!",Nothing! Except the buffet breakfast had no hash browns,"Great location, price and hotel! It’s bang in the centre of a high street so everything is so close by and also is a 10 min walk from the eventim Apollo arena so was perfect (we went for a concert)",8.0,May 2024,"June 11, 2024",Standard Twin Room,1,Group,8,0,0,0,0,0,0,0,1,1,0
"Great price, location and hotel! Would stay again","Nothing really, the road it was down was slightly grotty but the hotel itself was very good","Perfect location as we stayed for a concert and was a 10 min walk from/to the stadium. Also bang in the centre of a high street so lots of shops and restaurants! Also liked the free breakfast and the dove body wash, shampoo and conditioner provided (usually they are not great in most hotels)",7.0,April 2024,"June 11, 2024",Standard Twin Room,1,Group,8,0,0,1,0,0,0,1,0,1,0
Recommended,Lack of atmosphere,Good value,9.0,June 2024,"June 9, 2024",Standard Double Room with Sofa Bed,2,Family,8,0,1,0,0,0,0,0,0,0,0
Great location staff all very friendly and knowledgeable,Nothing,Location and staff,9.0,June 2024,"June 7, 2024",Standard Double Room,1,Couple,8,0,0,0,0,1,0,0,0,1,0
safe clean well located,,convenient location,8.0,March 2024,"May 31, 2024",Standard Twin Room,1,Couple,8,0,0,0,0,0,0,0,0,1,0
"Clean, cosy and location made it a nice stay.",The hotel was itself pretty good but a bit more varieties for the pastries at breakfast would make it even better.,The location was close to the tube station. The building and room areas were clean. There’s a car park next to the hotel as well.,9.0,May 2024,"May 28, 2024",Standard Double Room,1,Couple,8,0,0,0,0,0,0,0,1,1,0
Great value hotel in great location,Nothing.,"Great location, comfy rooms and attentive staff, Willy on the desk stood out for his friendliness and efficiency.",9.0,May 2024,"May 28, 2024",Standard Twin Room,1,Family,8,0,0,0,0,0,0,0,0,1,0
Good,"The hotel is booking a room for two people for a family of four. The sofa bed they are proposing is so narrow that even two children cannot sleep on it. The springs from the mattress dig into the body. Breakfast is an absolute failure—during the week, you have to wait in a queue for 10 minutes to get to the self-serve area. If you don't have a hand to put the entire breakfast on one go, the hotel employee will shout at you and make you stand in the queue for another 10 minutes. For breakfast, only fatty bacon is served, along with inedible scrambled eggs, and the rest is sweet.","The location of the hotel was very convenient. It was just a 5-minute walk to the metro station. The main bed in the room was comfortable. Assuming the windows were closed, it was quiet in the room. The room was clean.",7.0,May 2024,"May 22, 2024",Standard Double Room with Sofa Bed,3,Family,8,0,0,0,0,0,0,0,1,1,0
