Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating
Great place to stay if you are stopping over in Singapore for one night.,N/A,"It was only a short stay as we were traveling on to Europe the next day.  Jewel shopping plaza was a lovely surprise, the vortex waterfall and indoor garden was amazing.",10,May 2024,"June 26, 2024",Standard King Room,1,Couple,8.7
Wonderful,,Excellent location for layover travelers. Clean and comfortable facilities. Great views too.,9.0,June 2024,"June 25, 2024",Standard King Room,1,Couple,8.7
"The wonderfullly friendly, helpful staff were simply the icing on the fabulous cake.",Nothing to dislike.,"Wonderful in every way…location, friendly helpful staff, very comfortable quiet room.",10,May 2024,"June 25, 2024",Standard Room,1,Couple,8.7
Exceptional,,Beautiful comfortable convenient - made our layover in Singapore so much better!,10,June 2024,"June 24, 2024",Standard King Room,1,Family,8.7
Spectacular,Leaving 🥹 i wish we stayed longer in this amazing hotel,Everything is perfect,10,May 2024,"June 23, 2024",Standard Room,2,Couple,8.7
It was a wonderful short getaway,They need to check both the electrical light switches for the lights above the bed. The right side of the switch can only off the left side of the ceiling light whereas the left can only off the right side. Both are opposite 😂,Love the ambience that you dont feel like you are in an airport,9.0,June 2024,"June 21, 2024",Premium Pool Access,2,Family,8.7
Great location for a short stop over,"The trend of the frosted glass dividing bathroom and rest of room, sucks. If you travel as 2 or more people and anyone needs a night time bathroom visit - do it in the dark, or everyone is awake. It has been come a popular design feature in many fashionable hotels. It looks great, but the practicality of it is poor.","Room was super clean, free water. The pool was excellent. Great connection to the metro (1hr to downtown), and it was cheap and easy to use. The restaurant was wonderful. Breakfast had both western and eastern dishes, so food for everyone's tastes. Italian supper was delicious.",9.0,June 2024,"June 19, 2024",Standard Room,2,Family,8.7
Excellent as always with a twist!,,"Generally always have a good stay, but as my room wasn't ready they upgraded me to a suite, fantastic accommodation. With all that space to spare it was a shame I was a solo traveller!",9.0,June 2024,"June 19, 2024",Standard King Room,1,Solo traveler,8.7
Enjoy our stay,All,Everything is Excellent.,10,May 2024,"June 18, 2024",Standard Room,1,Couple,8.7
Perfect place to stay if having a short stop over in Singapore,We got lost coming from the airport to the hotel and had to ask quite a few people and got sent in the wrong direction a few times.  Better directions from plane to hotel would be better.,Location -,10,May 2024,"June 18, 2024",Standard King Room,1,Couple,8.7
"Ideal location, great stay",We couldn’t fault a thing.,"Located by Terminal 3 and walking distance to Jewel, this hotel was ideal for us.  The MRT into the city is only a few minutes away too making it an ideal location for wanting to be at the airport but also perfect for exploring the sights of Singapore.  All staff were friendly and helpful.  Our room was clean, comfortable and very spacious.  Despite being at the airport we barely heard any planes.  Restaurant and bar really good too, breakfast buffet excellent.",10,June 2024,"June 15, 2024",Standard Room,1,Couple,8.7
Fantastic for families doing a layover,,Everything !,10,June 2024,"June 14, 2024",Standard King Room,1,Family,8.7
Amazing!,,Location!,10,June 2024,"June 13, 2024",Standard King Room,1,Family,8.7
Wonderful,,"Everything was made easy, from checkin at hotel to checkin at the airport!
Lovely way to end a holiday",9.0,June 2024,"June 12, 2024",Standard King Room,1,Family,8.7
Perfect hotel,Everything was lovely,Everyone helpful room fab,10,April 2024,"June 11, 2024",Standard Room,1,Couple,8.7
Wonderful,It was very dark when I exited the lifts on level 9,I was upgraded to a massive suite on the top floor so I had a fabulous stay. I also ate at the restaurant downstairs and had a great experience as I'm Coeliac and this wasn't a problem. You also get a discount if you're staying at the hotel.,9.0,June 2024,"June 11, 2024",1 King Bed Standard Jewel Wing,1,Family,8.7
Awesome,Swimming pool area needs to be lit up well during its operating hours. It was too dark when we go at 8pm.,Convenient & Clean. Good & prompt service.,10,June 2024,"June 10, 2024",Standard King Room,1,Family,8.7
Great stop over spot,Nothing,"Fabulous location, so easy and quick from terminal 2. Room fabulous and quiet",10,June 2024,"June 10, 2024",Standard Room,1,Couple,8.7
Worth the stay especially if you are between flights.,,One nigjht stay. Check in and check out were seamless. Nice room. Comfortable bed. Definitely worth the stay before heading home.,9.0,June 2024,"June 9, 2024",1 King Bed Standard Jewel Wing,1,Family,8.7
Excellent comfortable stay in ideal location.,Bathroom/change facilities which we were offered as we had to check out at noon but our flight wasn't until 7pm.  It was just the change rooms and shower area for the swimming pool which was disappointing.,"Room was very comfy and quiet.  Location excellent for our one night stay at the airport.  Staff very helpful upgrading our room, transporting and storing luggage.",10,June 2024,"June 9, 2024",Standard Room,1,Couple,8.7
"Good night sleep, great buffet, friendly staff ideal location to get into town with the train.",none,"We arrived after midnight after a long flight and they gave us an upgrade to a very luxerious suite. It's a pity we only could enjoy it for a good sleep but since you can use the room till 12.00 noon we enjoyed it a little longer.
The Breakfast buffet with lots of Asian and European style dishes was delicious and if you book it by checking in it's a cheaper rate.
After checking out you can still use their facilities like pool and showers and safely store your hand luggage till your departure.
Very good option for if you are in between transfer/stopover flights.",9.0,June 2024,"June 8, 2024",Standard King Room,1,Couple,8.7
Almost perfect place.,"Room 317, cleanliness in the bathroom behind the front sink stonecover., apparently never cleaned. While using the toilet at night, I took torch just to avoid switching the bathroom lights and waking up my husband.  Accidentally saw behind the sink frontal stone cover from the side, which is open, and it's awful dirty there. The glass cabin bathroom wall is fancy, but never dark in.this room, we ended up walking without lights on. 

The tv in our room had a chinese subtitle, which we were unable to turn off. Limited channels, complicated use, send error several times showing no internet connection.

The chaos of light switches in our room. Never found the right one.

Seating service for breakfast. As an adult couple, we weren't enjoying sitting next to a family of four with a bothering young girl ( around 10) who was very active for the whole time we spent our breakfast. Previously, we had luck couple of times and had beautifully calm brekkies, but not this time. There were a lot of empty tables around, so this should happen for some other reason.

Table cleaning service at breakfast. I had approached 5 times while my mouth was full with my breakfast. Once to try a new green brekky cocktail, one's to fill out a quick survey, 3 times to take an empty plate. While I understand they must keep the table clean, in my culture, we let ppl finish eating before approaching them. Maybe it's okay in Singapore.","Very polite, professional working culture. Super soft bedsheets, great mattress,  fabulous breakfast.",9.0,June 2024,"June 8, 2024",Premium Pool Access,1,Family,8.7
Comfortable stay,Nothing special,I didn't had breakfast. I like indian breakfast,9.0,June 2024,"June 7, 2024",1 King Bed Standard Jewel Wing,2,Family,8.7
Really nice hotel,Quite expensive!,Really nice decor and clean,10,June 2024,"June 5, 2024",1 King Bed Standard Jewel Wing,1,Solo traveler,8.7
Excellent,,"Everything, location, the rooms and staff were really helpful 👌",10,June 2024,"June 5, 2024",Standard King Room,1,Family,8.7
Exceptional,,All,10,June 2024,"June 4, 2024",1 King Bed Standard Jewel Wing,1,Couple,8.7
