Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating
Very Good,"I was in a female dormitory, on the upper bed. my bed unfortunately did not have ""ceiling"". Roommates did not switch the light until 2 a.m, even though I asked politely several times. So it was impossible to sleep till then, light was coming directly into my eyes.","facilities were great, location was perfect",8.0,July 2024,"July 2, 2024",Single Bed in 8-Bed Female Dormitory Room,1,Solo traveler,8.5
Really cool in a super location,,"Really cool hostel right in the city center.
Super clean and very friendly staff!
Nice breakfast",10,June 2024,"June 30, 2024",Bed in 8-Bed Mixed Dormitory Room,1,Group,8.5
Good,"The toilets could be more tidied up, there are times that the toilet room has puddles. Also, the toilet is quite low, a higher toilet could be more appreciated and comfortable. Because each time I use the toilet, my knees always bumped the paper bin.","The bed is comfortable, and I like when it provides towels. The staffs are also really nice!",7.0,June 2024,"June 29, 2024",Bed in 8-Bed Mixed Dormitory Room,3,Solo traveler,8.5
Exceptional,"I didn't like the showers there , water so hot !",I like the staff and the bed so comfortable,10,June 2024,"June 29, 2024",Bed in 8-Bed Mixed Dormitory Room,1,Solo traveler,8.5
Exceptional,,Everything is excellent,10,June 2024,"June 27, 2024",Bed in 8-Bed Mixed Dormitory Room,1,Couple,8.5
Good,Bathrooms weren't clean enough.,"Location, staff, comfy bed.",7.0,June 2024,"June 25, 2024",Single Bed in 8-Bed Female Dormitory Room,2,Solo traveler,8.5
Good,The facilities were very basic,The staff were sweet and it was in a very good location!,7.0,June 2024,"June 25, 2024",Bed in 10-Bed Mixed Dormitory Room,1,Solo traveler,8.5
Gran Via - best hostel,The hair dryer was not working.,Tho room was clean and the bunkbeds were super comfortable. The location is great.,9.0,June 2024,"June 25, 2024",Bed in 4-Bed Female Dormitory Room,1,Solo traveler,8.5
A good choice for a short stay in Madrid,"The shelf next to the bed is very narrow, making it difficult to place items on it. A mobile phone can only stand on its side. Additionally, the lack of hooks in the toilet stalls is very inconvenient, as there is no place to put your belongings when you bring them into the toilet.","Excellent location. The hostel was clean, and the bed was comfortable. The price includes a large towel, which is a nice touch since many hostels charge extra for towels. The storage box under the bed is very spacious, easily accommodating small and medium-sized bags, and possibly even a large bag. There are at least two bathrooms on the floor, making it convenient to find an available one if one is occupied. Additionally, for just 2€, you can store your luggage in the storage room until the end of the day after checkout.",9.0,June 2024,"June 25, 2024",Bed in 10-Bed Mixed Dormitory Room,2,Solo traveler,8.5
Had a good stay.  Staff were friendly and helpful.,The noisy kids,Location.,8.0,May 2024,"June 25, 2024",Bed in 8-Bed Mixed Dormitory Room,5,Solo traveler,8.5
