Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating
"Historic hotel, unbeatably central",,"Our room was very comfortably appointed and we were very impressed by how our room was perfectly quiet (especially with a small conference event going on!), with lots of lighting options so that we never felt like it was too dark, or that if one of us wanted to read that we would disturb the other. 

Its central location made it very easy to coordinate both arrivals and departures (major coach and train stations are just a couple blocks away, and many bus lines also run through the immediate area) while its location made many attractions reachable on foot. The staff we interacted with were very attentive and helpful, and overall I think it represents excellent value for the price.",10,April 2024,"May 15, 2024",Standard Double,2,Couple,9.2
I'll be happy to come back........,The stay was too short...,"Old, nicely renovated building with own soul, in perfect location, good breakfast, comfy beds, clean....",9.0,May 2024,"May 7, 2024",Superior Double,3,Couple,9.2
My stay was a total relaxation,Nothing,Very good breakfast. very comfortable room and excellent location,10,April 2024,"May 5, 2024",Standard Twin Room,6,Couple,9.2
Exceptional,,Breakfast was very good. Good location.,10,May 2024,"May 4, 2024",Superior Double,4,Couple,9.2
Great !,Nothing.,"Location, room, complimentaries... Everything was magnificent.",10,April 2024,"May 3, 2024",Superior Double,1,Couple,9.2
Wonderful,Sometimes can hear the noise from nearest room.,Perfect location. Greatest breakfast ever!,9.0,April 2024,"May 1, 2024",Standard Double,2,Couple,9.2
Exceptional,,"Amazing location, right across the Palace of Science and Culture. I had a window with a view of it, and it really blew my mind. Staff was very polite and helpful, such a nice experience!!",10,February 2024,"April 30, 2024",Superior Single Room,3,Solo traveler,9.2
Exceptional,,"I had my second stay within a week with same size room but this time city view. 

The room was big size, nice king size bed, very well equipped room with lovely tea available to brew in the room.

I have had lunch and dinner in the hotel restaurant and the food was exceptional, really good price and staff were very friendly.

I highly recommend this hotel for everyone travelling to Warsaw.",10,April 2024,"April 30, 2024",Superior Single Room,1,Solo traveler,9.2
Exceptional,,"Central location, lovely old building. Friendly staff, big rooms and tasty breakfast.",10,April 2024,"April 30, 2024",Standard Twin Room,1,Family,9.2
It was very comfortable.,The showerhead was broken so I could not stabilize the shower.,"Lots of space in lobby, bedroom, shower room.",9.0,April 2024,"April 28, 2024",Standard Double,4,Group,9.2
"Nice as always in Polonia Palace, my favorite hotel in Warsaw.",,"Smooth reception, super ambient, beautiful place, nice breakfast",9.0,April 2024,"April 26, 2024",Superior Single Room,1,Solo traveler,9.2
Exceptional,Looked Everything,"Very friendly stuff, spacious rooms, very clean, super location, amazing breakfast",10,April 2024,"April 24, 2024",Family Room (2 Adults + 2 Children),1,Family,9.2
High quality hotel,Nothing,"The whole hotel has a very quality feel, doors, fittings, food, staff, décor, reception, everything, feels 5star",10,April 2024,"April 23, 2024",Standard Double,2,Couple,9.2
Great hotel in the heart of Warsaw,"It was a little bit noisy, we could hear the trams and cars from outside.","Great Hotel, very kind staff. And I can totally recommend the cocktails in the bar!",9.0,April 2024,"April 22, 2024",Deluxe Double Room,1,Couple,9.2
Exceptional,,"Everything was nice, Breakfast was good.",10,April 2024,"April 22, 2024",Superior Double,1,Couple,9.2
Exceptional,I honestly have no complaints. Would recommend to anyone wanting to stay in city central Warsaw.,"The location was wonderful, truly a great value for your money. Facilities were great, and staff was very welcoming and helpful.",10,April 2024,"April 16, 2024",Superior Double,6,Family,9.2
Wonderful,Duet too thick.  Need an alternative to the duet.  No shampoo.,Breakfast,9.0,April 2024,"April 15, 2024",Standard Twin Room,3,Couple,9.2
A nice hotel in and a great neighborhood,,Historic neighborhood,10,April 2024,"April 15, 2024",Standard Double,1,Solo traveler,9.2
Very Good,"Rooms a little too dark, narrow.","Good location in a nice area and excellent breakfast, although a little too expensive .",8.0,April 2024,"April 15, 2024",Standard Double,1,Solo traveler,9.2
We had really good stay we recommend this hotel in Warsaw,The bad was not straight and the bathroom door can’t left open.,Location was great big and clean room we had bathrobes and sleepers. They gave us a bottle of water each day. Staff was friendly,10,April 2024,"April 14, 2024",Standard Double,4,Couple,9.2
