Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating
Exceptional,,"amazing location, the rooms are renovated and clean",10,April 2024,"April 30, 2024",King Room,2,Solo traveler,8.9
Exceptional,,Location is perfect.... Staff is friendly and the Bar team is the best.,10,April 2024,"April 29, 2024",Queen Room,3,Couple,8.9
"Fantastic stay , would recommend to anyone.",Nothing,"Pretty much everything was perfect. The location was great and great value for money. All the Staff were very friendly and helpful when I needed something. Room was very spacious and clean with a comfortable bed. Nice view over the bank of Romania.  I didn’t have the breakfast but it looked nice from the outside. 
The two Daniels were great on reception and also Sabina. Nice gym also. Would come back.",10,April 2024,"April 24, 2024",Queen Room,3,Solo traveler,8.9
Nice and cozy hotel in the middle of historical downtown.,"My stay was a bit short , but i am sure there is nothing I would not like.","I picked this Hotel mainly because of the location, and i liked this hotel in terms of accommodations and housekeeping standards too.",10,April 2024,"April 22, 2024",Queen Room,1,Couple,8.9
Exceptional,Couldn't adjust temp in room,As described close to food area,10,March 2024,"April 22, 2024",Queen Room,1,Family,8.9
Exceptional,,Birthday cake was a very pleasant surprise 🎂,10,April 2024,"April 21, 2024",King Room,7,Family,8.9
"Loved our stay at this hotel, everything was great! Brilliant hotel! I will definitely come back.",Nothing to complain.,"Great location in the Old Town, 2min walking distance to a number of restaurants, cafes, bars and Metro line as well. Staff super friendly, clean room, excellent service and free water every day.",10,April 2024,"April 17, 2024",Twin Room,4,Group,8.9
"Central, clean and excellent service",Everything good.,"Location, staff and facilities excellent.",10,April 2024,"April 12, 2024",King Room,4,Family,8.9
Exceptional,,We loved everything. especially the breakfast and the service of the staff. Gabriella was extremely kind to the whole family and especially to our young daughter,10,March 2024,"April 11, 2024",Junior Suite,2,Family,8.9
"Loved our stay at this hotel, everything was great, food, staff, rooms & location",Nothing,Extremely well located right in the heart of the old town.,10,April 2024,"April 8, 2024",Queen Room,2,Couple,8.9
Wonderful,N/A,"Location was perfect. Hotel excellent, clean and very quiet rooms. Breakfast very good. Staff were very professional, helpful and informative",9.0,April 2024,"April 7, 2024",King Room,4,Family,8.9
Would stay here again,The restaurant offerings need more variety,,8.0,March 2024,"April 5, 2024",Queen Room,1,Solo traveler,8.9
I would like to visit hotel and city again.,,"Hotel in the heart of the city. Nice and friendly stuff, clean and breakfast was good.",10,April 2024,"April 5, 2024",Twin Room,2,Group,8.9
Very Good,Breakfast was expensive,"Friendly staff,  clean and spacious rooms and close to old town.",8.0,April 2024,"April 5, 2024",Twin Room,3,Solo traveler,8.9
It was good enough,,"Location is perfect, room is big enough and clean, bed is comfortable, shower is big enough, windows are big, day light is coming to room, employees are very kind and helpfull. Check in and check out is very easy and fast.",9.0,April 2024,"April 4, 2024",King Room,1,Solo traveler,8.9
Exceptional,No complaints at all.,Lovely clean hotel in the centre of the old town with plenty bars and restaurants only a few minutes walk  away. Staff very pleasant and helpful as well.,10,March 2024,"March 28, 2024",Queen Room,3,Couple,8.9
Wonderful,,"Location, restaurant and stuff.",9.0,March 2024,"March 24, 2024",Twin Room,1,Solo traveler,8.9
Brilliant hotel. Lovely location and friendly staff.,Prices in the bar,Location,8.0,February 2024,"March 23, 2024",Queen Room,2,Group,8.9
Clean and comfortable rooms. Great breakfast.,Noise from the club beside the hotel,The location is great. Easy walking distance to restaurants,10,March 2024,"March 20, 2024",King Room,3,Couple,8.9
Good location and good sized room very clean and new,Service of restaurant staff very poor and so so slow! Although they did compensate me for  my time and meal,The hotel was great and a very central location with a  good sized room .,8.0,January 2024,"March 16, 2024",Queen Room,3,Couple,8.9
Excellent,Nothing to say,Huge breakfast,10,March 2024,"March 16, 2024",Queen Room,2,Couple,8.9
Amazing stay,N/a,Central location. Amazing staff. Had great drinks in the hotel’s bar. Was able to get late check out.,10,March 2024,"March 12, 2024",King Room,1,Couple,8.9
Exceptional,N/a,"Location is great it is clean, staff friendly, feels secure. Good breakfest with big selection.",10,March 2024,"March 12, 2024",Queen Room,3,Couple,8.9
Great location,,"Great location in the old town, can practically walk to a number of restaurants, cafes and bars. And very interesting history around this area.",10,February 2024,"March 11, 2024",Queen Room,4,Family,8.9
Excellent,,"Nice staff, clean and comfortable",9.0,February 2024,"March 10, 2024",Queen Room,3,Family,8.9
