Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating
Wonderful,,"Perfect for the night when you have to stay one night for connections. The beds were nice, as well as the bathroom. Good food in the restaurant. It is only 4 minutes away from the airport and they supply a shuttle every 30 minutes. Great value!",9.0,January 2024,"January 15, 2024",Standard Triple Room,1,Family,8.2
Best hotel in the area,N/A,"I've been saying it for a while and will continue. It's the best hotel to stay when making a layover in Bogota. Close the airport, free shuttle to and from the hotel to aiport. Good breakfast included in price, they take care of you and your belonging with an smile. This time we used laundry services and luggage storage and was excellent.",8.0,December 2023,"January 15, 2024",Standard Quadruple Room,1,Family,8.2
Nice hotel,Little expensive.,Nice and clean,8.0,January 2024,"January 11, 2024",Standard Quadruple Room,1,Family,8.2
"Overall,its a good go to hotel in Bogotá.",Our A/C wasn’t working. Maintenance took over an hour to come check it out. I had to call twice. They did not give us another room but give us 1 fan instead for a quadruple room.,Near airport. Clean hotel. Friendly staff. The breakfast was delicious.,7.0,January 2024,"January 8, 2024",Standard Triple Room,2,Family,8.2
Nice hotel clean and close to the airport. Shuttle to airport is a bonis,Check in took too much time.,Comfortable clean nice calm,8.0,January 2024,"January 7, 2024",Executive Double Room,1,Solo traveler,8.2
Excellent solution when staying overnight at Bogota airport.,"The shuttle back to the airport left earlier than announced, so we had to wait another half hour for the next one, which caused some stress on departure.","Excellent option for a stop-over at Bogota airport, just 5 min from the airport with free shuttle. Clean and modern rooms and good breakfast.",8.0,October 2023,"January 5, 2024",King Room,1,Solo traveler,8.2
Good,The check in process was extremely slow and could surely be improved. I arrived at night around 11pm and although only few persons stood in front of me in the line it took more than 1 hour to check in.,"Breakfast was nice, extremely close to the airport and a convenient shuttle. I was also able to leave my luggage for a few days without any problems or additional costs",7.0,December 2023,"January 3, 2024",Executive Twin Room,1,Solo traveler,8.2
Very Good,Not as clean as it could have been. Toilet seat loose. Poor range of vegetarian food at breakfast,Location and airport shuttle,8.0,December 2023,"January 3, 2024",Executive Double Room,1,Couple,8.2
I will be staying again for sure.,"The check in process takes too long. I waited more than 45 min to check in. Traveling with family (3kids), at one point, the waiting gets to long.","This is my go to hotel in Bogotá. Overall its a nice clean, with friendly staff hotel. Near airport El Dorado.",7.0,January 2024,"January 3, 2024",Standard Triple Room,1,Family,8.2
Reasonable accommodation for a layover,"The bathroom in our room was quite noisy, but we were tired enough to eventually ignore the noise","Good value. Comfortable room to get some rest between flights - we didn’t stay for very long, but the bed was comfortable enough for our few hours of sleep and the room stayed nice and dark well after sunrise.",8.0,January 2024,"January 3, 2024",Junior Suite,1,Couple,8.2
I would stay again,,"Conveniently located near the airport, the breakfast offered was very good, and the bed provided was comfortable",8.0,December 2023,"December 29, 2023",Executive Double Room,2,Couple,8.2
NORMAL,CHECKIN DEMORADO,TRANSPORTE AEROPUERTO,7.0,November 2023,"December 28, 2023",Executive Double Room,1,Couple,8.2
Overnight stay between flights,"It was pretty noisy with planes taking off but that was the downside of being close to the airport which was a positive.
It did get quiet after about 11.",It was close to the airport. Staff were friendly and room was clean.,8.0,November 2023,"December 26, 2023",Executive Twin Room,1,Solo traveler,8.2
"Nice place, very close to the airport with free shuttle","Despite e-mailing on multiple occasions saying that my flight kept getting delayed and that I would have a very late check in, and that I only wanted to have a nap and shower, I still had to pay for a second night even though I was out by the check-out time of my original day.",It was very close to the airport. A free shuttle to and from the airport was included. Receptionist spoke English.,7.0,December 2023,"December 26, 2023",Junior Suite,1,Solo traveler,8.2
