Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating
We had a delightful quick stay in Innsbruck,All good,"Great location, Claire to train station and the centre.  
Very helpful staff & very clean.",9.0,March 2024,"March 5, 2024",Standard Double Room,1,Couple,8.1
Wonderful,"Although WiFi was free, not very good when we were there","Staff were friendly, room was exceptional (and more than enough room for a group), location excellent, would recommend!",9.0,March 2024,"March 4, 2024",Standard Triple Room,1,Group,8.1
"Comfortable, smart hotel but not really dog friendly.",We paid extra for our dog as it was a 'dog friendly' hotel. However we could not take our small dog into the breakfast room. Inconvenient. Guests should be made aware of this before booking.,"We were given an upgrade, as it was my birthday, to a large suite. Thank you. Very helpful receptionist. Lovely old fashioned suite.",8.0,March 2024,"March 2, 2024",Superior Double Room,1,Couple,8.1
"Good location, friendly staff, comfortable","The elevator is a bit small and slow, but that is just a minor issue. It would be nice to have extra pillows in the room.","Very spacious room for three persons, with two levels. Beds made some noise if you turn over, but were comfortable. Good location.",8.0,February 2024,"March 1, 2024",Standard Double Room,1,Group,8.1
Very comfortable and convenient,,Very comfortable hotel in excellent location. Very nice breakfast.,8.0,February 2024,"February 28, 2024",Standard Double Room,1,Couple,8.1
All in all good value as a hotel for the asking price,I didn’t had a bath in the bathroom just a shower,"Bed was comfortable, the sauna and fitnessroom was good",8.0,February 2024,"February 27, 2024",Standard Double Room,1,Couple,8.1
Wonderful time in Innsbruck!,An electric water kettle in the room would have been nice.,"Great location, very helpful staff, very comfortable room. Really enjoyed our stay!",8.0,February 2024,"February 25, 2024",Standard Triple Room,6,Family,8.1
Great location,,"It is a nice hotel - a great location in the downtown, just 1-2 min walk away from the main street, all the attractions are walking distance away. I really liked it and would stay in hotel Central again if I come back to Innsbruck",9.0,February 2024,"February 21, 2024",Standard Double Room,5,Solo traveler,8.1
Wonderful,,Great location and we got a room upgrade!,9.0,January 2024,"February 20, 2024",Standard Double Room,1,Couple,8.1
Very Good,"There is limited parking available, we didn't know you need to reserve in advance and in any case there are only 9 spots.","We had a suite and a tripple room, and were very comfortable. The bathroom in the tripple was pretty small, though there was also a separate smaller one. We enjoyed the sauna, although the wellness area is rather small, and appreciated the bathrobes and towels. The breakfast buffet had a good selection.",8.0,February 2024,"February 19, 2024",Standard Triple Room,2,Family,8.1
Wonderful,The room was very warm and no way to control the temperature. Had to leave the window open at all times,Beautiful hotel and very comfortable room. Right in the centre of town and had great facilities.,9.0,February 2024,"February 18, 2024",Standard Double Room,2,Couple,8.1
Great location and breakfast,,Great location and breakfast good sized room,9.0,February 2024,"February 17, 2024",Standard Twin Room,1,Group,8.1
Wonderful,"Unfortunately the thermostat was broken in our room and that meant it was extremely warm. This made sleeping difficult. 
We slept with the window open but wasn’t much help. I believe they’re in the process of fixing it though :)",Great location and easy to navigate the city from there. Great staff and clean facilities.,9.0,February 2024,"February 17, 2024",Standard Double Room,2,Group,8.1
Wonderful,The bar area was not open. The sauna was always crowded.,"The location was perfect, of course. The facilities were very nice, and spacious",9.0,February 2024,"February 16, 2024",Standard Double Room,3,Couple,8.1
In the heart of Innsbruck,"The sauna area was dark, out of towels and it wasn’t clear how to use the facilities as no one was attending the area.","The staff were absolutely amazing. They were so attentive and friendly. They upgraded our room and gave us so many tips and recommendations. They truly made our stay unforgettable.

The location was spot on! Everything was walking distance from us. 

The room was comfortable, clean and cozy. 

The breakfast was beyond amazing, it was so worth it to select the option with it.",8.0,February 2024,"February 16, 2024",Standard Double Room,2,Couple,8.1
Wonderful,,Room well equipped and comfortable. Staff friendly and extremely helpful. Great location. Central cafe had excellent options for a light breakfast and coffee and cake.,9.0,January 2024,"February 14, 2024",Standard Double Room,1,Couple,8.1
Very Good,"I could not mention anything that I didn't like, simple as that.","The hotel is a 4 minute walk from the train station and right on the edge of the main town, so perfect for bus and train travellers.",9.0,February 2024,"February 8, 2024",Standard Double Room,1,Couple,8.1
I Would Stay Here Again,"The room was large enough - but the cleaning needs some attention. There floor was not fully vacuumed, the glasses in the bathroom were not cleaned.",The location was excellent. The staff went out of their way to make everything work.,8.0,February 2024,"February 8, 2024",Standard Double Room,2,Solo traveler,8.1
Superb place to stay for a trip to Innsbruck.,"Our room didn’t have any coffee or tea facilities so we were forced to buy hot drinks from cafes before bed or first thing in the morning. 

This may be an Austrian thing as I can’t remember other hotels in Austria offering those facilities.","This hotel is perfectly located in Innsbruck. It’s close to the Golden roof and saint Anne’s statue. 

The staff were very friendly and the front desk staff knew so many things about the city. Ski bus to Schlick stops directly outside cafe central which is attached to the hotel.",9.0,January 2024,"February 6, 2024",Standard Triple Room,3,Couple,8.1
Good place for short City break,"Internet cover was poor with TV also very erratic, very few channels available.","Location excellent, very easy for town. Breakfast very good.",8.0,February 2024,"February 6, 2024",Standard Double Room,3,Couple,8.1
Great hotel in the city center!,,"The location of the hotel is amazing! The staff was super friendly and they upgraded our rooms for free, which was very kind! 
The rooms were very clean too!",9.0,January 2024,"February 4, 2024",Standard Double Room,1,Group,8.1
"Excellent location, helpful staff",,"Excellent location, helpful staff",9.0,February 2024,"February 1, 2024",Standard Double Room,1,Solo traveler,8.1
Good convenient stay in central Innsbruck.,The wellness area was completely full with no space for us to use the sauna or steam room which was disappointing.,The location was very central and well located for the rail station. It was on a very quiet street. The breakfast was good with decent options. The room was comfortable. The front desk were very helpful and allowed us to store luggage from about 7am on the day we arrived so we could ski during the day.,8.0,January 2024,"February 1, 2024",Superior Single Room,1,Group,8.1
Very Good,No bar service available,Spacious rooms and elegant public areas,8.0,January 2024,"January 30, 2024",Standard Double Room,3,Family,8.1
Nice and clean. Maybe next time we will stay again.,There is nothing to complain.,Location was great . Our room was clean and quiet with beautiful view from window. Excellent.,8.0,January 2024,"January 29, 2024",Standard Double Room,1,Family,8.1
"New Years Eve, dinner superb and updgrade was a bonus. Location perfect.","A little dated, but a new extension is in progress.
I expect the whole property will be revamped in the near future.",Location,8.0,January 2024,"January 28, 2024",Standard Double Room,1,Solo traveler,8.1
Wonderful,"I hated the way the lights in the bathroom and shower went on and off constantly with their motion detectors.  If I turned over in my bed in the middle of the night, the lights would come on.  Similarly, if I didn't move enough in both the shower and toilet, the lights would go off.

Also, didn't like not being able to register before 3 pm.  Even my room is not ready at 1 or 2 pm, you could still register me and tell me to come back later at 3 pm to pick up the key.  This reception was off-putting and felt unwelcoming.","The room # was 122 which was an incredibly smart, well-designed and organized room.  Have never encountered any room that was so tiny and yet the space use was fantastic.",9.0,January 2024,"January 27, 2024",Superior Single Room,1,Family,8.1
Wonderful,,Excellent position. Good breakfast buffet. SPA. Good price,9.0,January 2024,"January 26, 2024",Standard Double Room,3,Solo traveler,8.1
Convenient location and nice stay,,Great overnight stay here. Perfect location to town and train station,9.0,January 2024,"January 25, 2024",Standard Double Room,1,Couple,8.1
Decent Hotel in a Good Location.,The rooms were a bit hot at night.,My adult son and I stayed here for one night twice in the past week and were upgraded on each occasion which was a pleasant surprise. The rooms and general areas were very clean and the staff helpful. The breakfast had a good selection.,8.0,January 2024,"January 24, 2024",Standard Twin Room,1,Family,8.1
Perfect.,Didn’t have a kettle or cafe machine.,"Location is great, staff is great and the facilities are great except the gym.

Breakfast is as excellent!",9.0,January 2024,"January 23, 2024",Standard Double Room,1,Couple,8.1
Lovely hotel in centre,,"Excellent reception ,very nice hotel in a great location.
Large ,very comfortable room
Large cafe bar adjoining very nice 
Recommended......",9.0,January 2024,"January 22, 2024",Standard Double Room,1,Solo traveler,8.1
Great,Everything was fine,"Great location, friendly and helpful staff. Great room. Would happily recommend for a stay in Innsbruck.",9.0,January 2024,"January 18, 2024",Standard Double Room,2,Couple,8.1
"Most enjoyable, will return",,"Location, value for money, attitude of the staff",9.0,January 2024,"January 17, 2024",Standard Double Room,1,Solo traveler,8.1
We stayed two nights with breakfast included which was well worth it. If staying for two or more nights get the Welcome,,Easy to get to from the train station and shops.,8.0,January 2024,"January 16, 2024",Standard Double Room,2,Couple,8.1
Wonderful,The price was a bit high for the accommodations provided. They charge for the water in the fridge which is weird because they give you free water when you leave.,The staff were amazing and gave me so much information. The room was very organized and clean when I arrived.,9.0,January 2024,"January 16, 2024",Standard Double Room,2,Solo traveler,8.1
Very Good,parking fee is a bit high,all is good,8.0,December 2023,"January 14, 2024",Standard Triple Room,1,Couple,8.1
Really lovely stay in a lovely hotel in a wonderful city,,"Lovely welcoming staff, nice rooms and communal spaces, perfect location",8.0,December 2023,"January 11, 2024",Standard Twin Room,2,Group,8.1
Wonderful,,Location & excellent breakfast,9.0,January 2024,"January 11, 2024",Standard Double Room,3,Couple,8.1
Lovely hotel . . . . .,"Whilst kettles were not provided in the room, it was easy to get one from reception. However . . . . mugs would have been useful :)","We liked the warm bedroom and the excellent cafe attached to the hotel. The staff on reception were absolutely excellent. SO helpful, kind and warm.",9.0,December 2023,"January 9, 2024",Standard Double Room,3,Couple,8.1
Very Good,breakfast is way too expensive,,8.0,November 2023,"January 7, 2024",Standard Double Room,3,Family,8.1
Great,Small room,Location,8.0,January 2024,"January 7, 2024",Standard Double Room,4,Family,8.1
Wonderful,,Perfect location,9.0,December 2023,"December 29, 2023",Standard Double Room,1,Couple,8.1
Cozy stay in the central part of Innsbruck,The size of room was too small for my son and me It was possible to go to the window only one by one. Sadly there wasn't a kettle.,"There is a perfect breakfast, especially English breakfast, Hearty breakfast and coffee Melanzhe.
The location is absolutely perfect. I was pleased with the shoe horn and hand cream.",9.0,December 2023,"December 29, 2023",Standard Double Room,3,Family,8.1
A very nice room in a quality hotel.,No English language tv stations. Asked at reception and was told to check the in room information file.,A very nice room in a great location. Great staff and very clean.,9.0,December 2023,"December 29, 2023",Standard Double Room,2,Couple,8.1
Great value for money,,"The hotel was in the perfect location : very close to the town centre, close to the train station and nearby bus stops made it easy to get around.  
The room was nice, cosy and warm with a separate bathroom and toilet. Superb breakfast: great variety of hot & cold food and the best soft boiled eggs ever. Everything was delicious and fresh. The staff were very helpful too. 
.",9.0,December 2023,"December 28, 2023",Standard Double Room,3,Couple,8.1
Excellent property for a reasonable price. Food at cafe central was delicious,Nothing,"Perfect location, next to the city centre. Staff were very nice and helped with all of our questions about the city. They also upgraded us on arrival",8.0,December 2023,"December 27, 2023",Standard Double Room,3,Couple,8.1
Generally the room met my expectation.,The WIFI connection was poor. My smartphone couldn't surf the internet with a satisfying velocity and sometimes the connection was interrupted. The upstair section of the entire room was without heating.,"The hotel is really closed to the Innsbruck Station, just several minutes walk. The staffs there were very friendly and available for help and information about our stay in this city. The room was clean and they came to clean it every morning.",8.0,December 2023,"December 26, 2023",Standard Triple Room,2,Group,8.1
Wonderful,,"Friendly staff, good breakfast and location.",9.0,December 2023,"December 25, 2023",Standard Double Room,1,Couple,8.1
Very Good,One of elevators was out of order. Cleaning staff had a loud argument outside our door at 7am that we had to break up.,Great location and wonderful breakfast. Beautiful property with elegant lobby.,8.0,December 2023,"December 24, 2023",Standard Double Room,2,Family,8.1
Superb period hotel. Perfect old-town location,,"Superb period hotel.  Marble, high ceiling, warm, superb breakfast; love the Central Cafe attached.",9.0,December 2023,"December 20, 2023",Standard Double Room,2,Couple,8.1
"Thoroughly enjoyed our short stay in Innsbruck, and the location of this hotel was perfect for us.","The refrigerator could be a bit colder.  The key was a bit large and bulky, but it wasn't a big deal.  There isn't really anything much to complain about this hotel.","The location was close to the Old Town which was perfect.  We received an upgraded room that had an extra bed, bathroom, and sun room.  We were blown away with how much space we had.  We enjoyed our view of the ski jump from our sun room.  The staff was really friendly and helpful.",9.0,December 2023,"December 11, 2023",Standard Double Room,1,Couple,8.1
Wonderful,Could do a deal with local car park to get discount for people staying at the hotel.,"Great location, well priced for what you get.
Very helpful staff and a great breakfast.",9.0,December 2023,"December 6, 2023",Standard Twin Room,1,Family,8.1
Wonderful,,"Friendly staff, nice location and clean rooms",9.0,November 2023,"December 6, 2023",Standard Double Room,1,Solo traveler,8.1
It was most enjoyable.,"The hotel bar was closed throughout our stay. Had it been open we would have spent some time there, in the evenings, enjoying a night cap.","The breakfast was excellent, with a great choice of food.
The reception staff were particularly helpful.",9.0,December 2023,"December 4, 2023",Standard Double Room,2,Couple,8.1
