Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating
Good,Very old hotel and it shows,Nice location,7.0,December 2021,"December 15, 2021",Standard King Room,6,Solo traveler,7.7
nice hotel,it could be more wonderful if they clean their windows so we can enjoy the view of Riyadh.,cleaning and facilities,9.0,December 2021,"December 8, 2021",Standard King Room,6,Family,7.7
classic and clean for businessmen,nothing,"location 
basic hotel with essential services 
classic and clean 
exactly for business and i like it",9.0,December 2021,"December 6, 2021",Standard King Room,2,Solo traveler,7.7
it was ok,"My rooms view was poor, they could not help to change them
carpet need to be cleaned",,9.0,November 2021,"November 30, 2021",Standard King Room,4,Family,7.7
"great value and nice welcoming, reception team very good",no thing,"the location is great, parking is available in the basement, upgraded my reservation to king suite",8.0,November 2021,"November 29, 2021",Junior Suite,3,Family,7.7
Very Good,The breakfast was below the average,"The location is in middle of the best street in the city..
The room is big..
There is basement for parking cars..",8.0,November 2021,"November 25, 2021",Standard King Room,2,Solo traveler,7.7
Good,"housekeeping staff and room service staff should shower on a daily basis, majority have bad sweat smells which remains in rooms, elevators and hallways,

reception staff should be more friendly and smiley, they are not rude but should make more efforts as a front liners",,7.0,November 2021,"November 11, 2021",Junior Suite,4,Couple,7.7
Very Good,"Breakfast is too limited and they cook odd meals for breakfast such as burgers and noodles. 
Also, the building’s rugs need shampoo washing",Service - reception - flexibility - cooperation - housekeeping,8.0,October 2021,"November 4, 2021",Standard Twin Room,1,Family,7.7
Wonderful,nothing,Good breakfast collection. excellent value for the money. The closest hotel to Akaria,9.0,November 2021,"November 3, 2021",Standard King Room,1,Solo traveler,7.7
Good,,Staff are friendly,7.0,October 2021,"October 7, 2021",Standard King Room,5,Solo traveler,7.7
Very Good,Everything   👍,,8.0,September 2021,"September 6, 2021",Standard King Room,1,Couple,7.7
Excellent choice with good value,"Old style furniture 
No key available for the door between the room and saloon
No baby crib
Room service are not fully care about some requests","Wide space
Respectful reception 
Gym has new equipments
Easy to find the hotel",7.0,August 2021,"September 3, 2021",Junior Jacuzzi suite,3,Family,7.7
Very Good,Old fashioned style,Jacuzzi,8.0,June 2021,"August 31, 2021",Standard King Room,1,Couple,7.7
Very Good,"- there were black ants in the bathroom , so for the people who have allergy from ants bites be careful .","- clean, good location , comfortable 
-fast service , nice staff",8.0,August 2021,"August 28, 2021",Standard King Room,2,Solo traveler,7.7
good,everything,good and clean,8.0,July 2024,"August 19, 2024",Standard King Room,2,Solo traveler,7.7
OK,"The Phone was not working. I could hear the other party, but they could not hear me. Getting room service was impossible, and fortunately, the Room Service guy had the good sense to call me back on my mobile phone. The same applied to trying to call the receptionist. I had to go down to communicate with him.",,8.0,August 2024,"August 15, 2024",Standard King Room,2,Couple,7.7
Good,the ac was hitting directly to the head while sleeping,Location and room were good,7.0,April 2024,"July 17, 2024",Standard King Room,2,Group,7.7
It was great stay,"The jacuzzi when we run the water the dirt and dust came out specially in the bubble. 

The breakfast is great but it very less option.","Affordable, great location and great staff. We are able to check in early and check out late very accommodating staff.",7.0,July 2024,"July 16, 2024",Royal Suite,1,Family,7.7
Very Good,Noise from construction site,Breakfast and room too,8.0,June 2024,"June 22, 2024",Standard King Room,3,Family,7.7
Good value for money at a good place,Nothing to complain,"Location, neatness and facilities",7.0,June 2024,"June 12, 2024",Standard King Room,1,Solo traveler,7.7
Very Good,nothing at all,all is ok,8.0,June 2024,"June 12, 2024",Standard King Room,1,Couple,7.7
Very Good,Parking space should be better managed.,The location is in the heart of the city.,8.0,May 2024,"May 19, 2024",Standard Twin Room,1,Couple,7.7
"Good, no frills, hotel with excellent customer service","I had a non smoking room, but smoke from elsewhere came through the bathroom vent and permeated the room. The cleaners used one or the other spray but that didn't even mask the smell of the cigarette smoke.","Staff was extremely helpful and ever so friendly. They even went as far as personally paying for my taxi that I had arranged through Careem, they only excepted cash (the app didn't allow me to pay with Apple Pay) and the driver didn't have the change. When I tried to pay the receptionist the next evening he did not want to accept my money to pay him back....it was his pleasure to help. Amazing!",7.0,May 2024,"May 6, 2024",Standard King Room,12,Solo traveler,7.7
Convenient location,,"Large room, and comfortable",7.0,January 2024,"April 17, 2024",Junior Suite,2,Solo traveler,7.7
Good,"Cleaning and food.
The bathtub is not clean, 
The food served in suhur was not fresh, it was the same as served in iftar.
Air Conditioning is not cooling enough, that needs service.","The room,",7.0,March 2024,"March 15, 2024",Junior Jacuzzi suite,1,Family,7.7
Good location by Kingdom Tower.,,Clean and comfortable!,9.0,March 2024,"March 13, 2024",Standard King Room,2,Group,7.7
A comfortable weekend.,The electrical sockets in the room were damaged....and Oh boy! the gymnasium and indoor pool were not allowed for women and children. I suggest they have separate timings for them.,The location was excellent! The bed most comfortable. The receptionist there was kind enough to allow us a later check out.,7.0,March 2024,"March 6, 2024",Standard King Room,3,Couple,7.7
"Good, not great, but works",Noise from other rooms and lack of electrical outlet,"Great location, comfortable bed",8.0,March 2024,"March 6, 2024",Standard King Room,3,Solo traveler,7.7
Good,Location is pretty isolated. You won't find any dining options in walking distance. And the hotel did not refund me for early check out despite requesting them verbally and email.,Nice property in the Olaya street. Spacious and well-maintained clean rooms.,7.0,December 2023,"February 28, 2024",Standard King Room,5,Solo traveler,7.7
Good location hotel,"The carpet were not clean and furniture outdated.

Safe box was not functioning they changed with a new one didn't work as well.",Location and staff as well as spacious room,8.0,February 2024,"February 22, 2024",King Jacuzzi Suite,6,Group,7.7
"the staff were amazing, and the location is great!","i think the furniture needs to renew.
the parking area in the basement isn't properly wide especially for large cars","the location
the staff 
to me it was more of a 5 stars hotel..
i could come back here again.",9.0,February 2024,"February 18, 2024",Standard King Room,1,Solo traveler,7.7
Was nice experience people very friendly,Location & breakfasts,Location,8.0,February 2024,"February 16, 2024",Standard Twin Room,3,Family,7.7
Very Good,"One light bulb didn't work, a little bit old furniture and could benefit from a renovation","The location in the middle of riyadh, near my business trip location, express check in and out, allow for extra hours before check out",8.0,February 2024,"February 9, 2024",Standard Twin Room,2,Solo traveler,7.7
Very Good,"Excelent location! Good value for money, although nothing too special. The property is fairly aged and scruffy. Cleanliness isn’t a forte. Beds are mediocre. The staff was nice! It is a very good compromise for a central stay in Riyadh if you don’t expect something more!",,8.0,February 2024,"February 8, 2024",Standard King Room,1,Solo traveler,7.7
Cold have been better,Smoking smells room staff was not helpful to change the room,Room is big and beds are comfortable,7.0,February 2024,"February 8, 2024",Standard Twin Room,4,Family,7.7
Breakfast need to pay exstra 🙁,Breakfast is extra,Location,8.0,December 2023,"January 26, 2024",Standard King Room,1,Solo traveler,7.7
Excellent,Wifi is not working,"Location, staff and services",9.0,December 2023,"January 2, 2024",Junior Jacuzzi suite,4,Family,7.7
Good,Furniture are old,Location and view,7.0,December 2023,"December 17, 2023",Standard King Room,5,Family,7.7
It's all about location.....,"WiFi in the room was (too) weak. Many of the simple and small apps I use on a regular basis would often not connect, or would be very slow, so WiFi range and speed could definitely be improved! Breakfast was OK, but for my standards it could have been better. Not too much choice in fruit, 'normal' bread and drinks, but a lot of choice in pastry and warm dishes, but I prefer the more continental breakfast.","Location of the hotel is great, almost in the city center of Riyadh, which is where I needed to be for work. Staff in the hotel was friendly and helpful. They gave me a large room on the first floor, equipped with a good and comfortable king bed, a big screen TV and a small desk to work. The bathroom looked a bit old(er), but everything worked, so what more do you need?",8.0,November 2023,"November 27, 2023",Standard King Room,8,Solo traveler,7.7
Wonderful,"The WiFi signal was not stable and sometimes going crazy... certain spots are OK, other spots nope!",Everything was just great. Enjoyed it as an overall experience.,9.0,September 2023,"October 25, 2023",Standard King Room,3,Solo traveler,7.7
Wonderful,for some reason my card didnt work and i asked the person to open the door for me,"i liked how clean my room is and how quiet it was, i liked the decoration of the room and the cleanliness, the bathroom was clean, the complementary water and drinks were very good. i would love to come here again",9.0,October 2023,"October 23, 2023",Standard King Room,1,Solo traveler,7.7
"Great lication, great staff, much lower than expected facilities.. Gym perfect though",Rooms and common areas in need for refurbishment,Location,7.0,October 2023,"October 18, 2023",Standard King Room,7,Solo traveler,7.7
