Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating
Very good staying in Calafate Hostel,Missing light next to bed. Change dorms doors and leave a key to each guest. WiFi didn't work in the rooms and was bad also in most of the common area,"Large room with enough space to store your stuff. Very very clean. Good location and very cheap price. Breakfast had just sweets included, but it was rich. There's a nice garden and also a terrace",8.0,January 2024,"January 23, 2024",Single Bed in 4-Bed Dormitory Room with Internal Bathroom,1,Solo traveler,8.5
Fantastic night in El Calafate,Shower controls are a little tricky. Difficult to gauge between boiling hot and quite cold.,"The room was an apartment and was lovely, at a really great price. We had booked it as an impromptu extra night and wished we could have stayed longer. Fantastic location in the heart of El Calafate. Very helpful staff and great facilities.",9.0,January 2024,"January 23, 2024",Deluxe Apartment,1,Couple,8.5
Great value for money,Our room was quite dark because of the side of the property it was located on. Breakfast was very carb/sugar based which is great for some people but not my personal taste (you could pay extra for more options though). The top bunks could do with a small shelf for a phone/water bottle.,"Location was great, the staff were helpful and there was lots of common space inside and outside. Kitchen was easy to make decent meals in and well equipped. Showers were amazingly powerful and hot!",8.0,January 2024,"January 22, 2024",Single Bed in 4-Bed Dormitory Room with Shared Bathroom,3,Couple,8.5
Amazing hostel in El Calafate,Wifi is not working perfectly,Very big common spaces and very friendly staff,9.0,December 2023,"January 21, 2024",Single Bed in 4-Bed Dormitory Room with Shared Bathroom,1,Solo traveler,8.5
Exceptional,Nothing.,"Best price for tours to glacier and the location was great. Very roomy, helpful staff",10,December 2023,"January 20, 2024",Single Bed in 4-Bed Dormitory Room with Internal Bathroom,3,Solo traveler,8.5
Best in town,,"Share bathrooms were always clean
Hot water was quick
Really nice hostel, near to the center, with a nice balcony and good staff",10,January 2024,"January 16, 2024",Single Bed in 4-Bed Dormitory Room with Shared Bathroom,3,Couple,8.5
Great Hostel!!!,,"Everything! Great Hostel!!!
You can also book some excursions with them to El Chalten & Moreno Glacier. (Thanks Paula!)",9.0,January 2024,"January 15, 2024",Exclusive Double Room,4,Couple,8.5
Exceptional,"No, I can't say nothing. God service Good attention, very nice apartment  and very close to the center",Everything was fine and comfortable and friendly.,10,January 2024,"January 15, 2024",Deluxe Apartment,3,Group,8.5
Perfect,Wi-Fi was slow at times,"Lovely stay! Friendly staff, great lounge, clean room with a great shower and the breakfast was tasty. They even helped book our transport to/from Perito Merino with collection from the hostel.",10,January 2024,"January 13, 2024",Double Room with Private Bathroom,3,Couple,8.5
Exceptional,,"Great location, really spacious private rooms with excellent shower. Plenty of room and communal areas throughout the hostel Decent enough breakfast.",10,January 2024,"January 13, 2024",Single Room,1,Solo traveler,8.5
